"","(G)Commercio","(C)Manifattura","(N)Servizi: Viaggi e Noleggio","(J)Servizi: ICT","(F)Costruzioni","(I)Servizi: Alloggio e Ristorazione","(Q)Servizi: Sanità e Ass. Sociale","(A)Pesca e Agricoltura","(H)Trasporti e Magazzinaggio","(E)Gestione Fogne e Rifiuti","(L)Servizi: Immobiliari","(M)Servizi: Consulenza e attività scientifiche","(D)Fornitura Gas/Ele","(S)Altre attività","(K)Servizi: Finanza e Assic.","(R)Attività sportive, artistiche e intratt.","(P)Servizi: IStruzione","(B)Estrazione Minerali","(O)Servizi: Amm. Pubblica e Difesa","(U)Organismi extra territoriali"
"age",0.0682608112572181,0.128021496408582,0.141443303139169,0.116533938108464,0.145123148340222,0.235047266562549,0.144029975674028,0.0930655735495871,0.0798204571619158,0.163727233476301,0.233497589457664,0.0876038444408891,0.281382482256605,0.213732749402592,0.0351467384115679,0.144557482841551,0.152561970827977,0.370182554887,0.198923920846902,0.712746758475165
"size",0.0151846775537687,0.0426027189601306,0.0577181717670937,0.021835482199644,0.0240154765502159,0.0351626027326513,0.0379003524674091,0.0064597241988818,0.148646382207499,0.0474445441021616,0.0374759120280264,0.0274653274316829,0.0358025988461881,0.00318532656067334,0.0327393484776606,0.00579883802957805,0.0109535747192224,0.0344740204250985,0.0424105283616064,0.0424105283616064
