"","S.R.L.","S.R.L. simplified","S.C.A.R.L.P.A.","S.R.L. one-person","Consortium","Other","S.P.A.","S.C.A.R.L."
"age",0.0552824593090692,0.698502236761008,0.161736921753416,0.231372461772403,0.0988130490734199,0.198392893742749,0.33986094081618,0.242055465150115
"size",0.00813166143040023,0.0119331531477984,0.122815453362276,0.012564024666325,0.0259496230118123,0.0839939660204159,0.0946862458319417,0.00434271839164025
