"","Sicilia","Piemonte","Marche","Valle d'Aosta","Toscana","Campania","Puglia","Basilicata","Veneto","Lombardia","Emilia-Romagna","Trentino-Alto Adige","Sardegna","Molise","Calabria","Abruzzo","Lazio","Liguria","Friuli-Venezia Giulia","Umbria"
"age",0.00890153537604693,0.0162767329719989,0.044498835963539,0.105113914275683,0.037012310923593,0.0512703419784937,0.036776703869607,0.0289825415090336,0.0157508627675221,0.0236500517921316,0.0311728751601346,0.06194761409117,0.056691496846528,0.076834617622442,0.0269446967837592,0.035008143317665,0.0523312660071835,0.0466185455438843,0.0619698698586264,0.0227551275389796
"size",0.00477196172071972,0.00839640529051552,0.00225399634158315,0.0237189395765597,0.00246159604581176,0.0082799398094949,0.00186160770642759,0.0226574419418534,0.00107723642440589,0.00228291240384745,0.00350632995019469,0.0171079981085811,0.00155768267119907,0.0104529077617414,0.0171367288670824,0.0104956347445852,0.00435241495306079,0.0102485271704213,0.0188017593902742,0.022930008881087
