"","Sicilia","Piemonte","Marche","Valle d'Aosta","Toscana","Campania","Puglia","Basilicata","Veneto","Lombardia","Emilia-Romagna","Trentino-Alto Adige","Sardegna","Molise","Calabria","Abruzzo","Lazio","Liguria","Friuli-Venezia Giulia","Umbria"
"1990 - 2010",0.00759027965586711,0.016068713340191,0.00740069004942519,0.0379903788782817,0.00152352102398714,0.00217570371467697,0.0128524418465612,0.04399298131736,0.00662350625379825,0.00142578050365068,0.00318106546168007,0.0115709974071453,0.00997698307768688,0.00995652387196124,0.0235936496801555,0.0223519368063137,0.00469621812181515,0.0031713683300787,0.0142792474151993,0.00876051516566081
"2011 - 2014",0.00268640025604769,0.00202956337658587,0.0173851034666573,0.00366340103810266,0.0109007472607559,0.00426572863954178,0.00161694177748157,0.00123114804555248,0.01175311843294,0.0148892331689547,0.0120513939567772,0.010004731214921,0.00339267114555492,0.00788670396038307,0.00185605222745285,0.00176981708394982,0.00763386674979904,0.0171434857223116,0.0216610174942691,0.01622850118359
"2015 - 2020",0.0087115324944538,0.0169331758075732,0.0219851734182062,0.0360172224730697,0.00981531168649564,0.0056165118958014,0.0114529457178315,0.034992225119631,0.0162779653878044,0.0115058237014762,0.0125614944097378,0.016563743824456,0.00934424798525456,0.0114183153446362,0.0220286535906765,0.0197177318136242,0.00309395203385976,0.0142353235715857,0.0355236999132893,0.0215359037890409
