"","Sicilia","Piemonte","Marche","Valle d'Aosta","Toscana","Campania","Puglia","Basilicata","Veneto","Lombardia","Emilia-Romagna","Trentino-Alto Adige","Sardegna","Molise","Calabria","Abruzzo","Lazio","Liguria","Friuli-Venezia Giulia","Umbria"
"1990 - 2010",0.0413717692718871,0.0501173558833039,0.0804475762962641,0.0973206294749403,0.0719316498026713,0.0545978365453067,0.0444489408247752,0.0367278792715729,0.0826603898398513,0.0667531037376409,0.0809842320810064,0.0705490388615741,0.0538689352325682,0.0555087638196135,0.0694951942798362,0.0505426350545364,0.0431915535497583,0.0707626286611975,0.0750397513877763,0.0669994390576369
"2011 - 2014",0.0414333943924605,0.0270130151748083,0.0368612512454454,0.0395630622360932,0.0354031806999207,0.0273801907777939,0.0346008760413082,0.0459762722058931,0.0268389767679465,0.0337207931808839,0.028393418743055,0.0458212510145186,0.0397798854036514,0.0417068598051837,0.0364849848751234,0.0490245265142984,0.032336011449629,0.0334223220007198,0.0239873925480954,0.0342252230058312
"2015 - 2020",0.0650522533735806,0.06935093344939,0.0989547574609687,0.0986180094175321,0.0828049304052323,0.0659398555914798,0.0649039923360482,0.0567308106829162,0.0932699364696588,0.086934280791957,0.0916936068579288,0.0878885450033337,0.0891351384222433,0.0613125416809373,0.0865339329811724,0.0812683886269202,0.0624196471465189,0.0901886202837441,0.0875939125821468,0.0811590122458837
