"","S.P.A.","S.R.L.","S.R.L. one-person","S.C.A.R.L.P.A.","S.C.A.R.L.","Consortium","Social cooperative company","S.R.L. simplified","S.A.S.","S.N.C.","Other"
"1990 - 2010",0.0818611860422398,0.00215808691223618,0.0103576546262131,0.0604155312947274,0.0157101503946184,0.00265174650962587,0.0295735080891331,0.0309307604994322,0.0347783861623214,0.0231823461091753,0.113814299579424
"2011 - 2014",0.0111552285623339,0.00720469028671658,0.00912113538883939,0.02770970264805,0.00903711983903887,0.00200268931724862,0.00780155516997626,0.00360835612784749,0.00742443246512948,0.0062768267434227,0.0346705489054244
"2015 - 2020",0.152969199588686,0.00858218370985683,0.0247403686173643,0.0099039582906256,0.0163992270443396,0.00053812290487267,0.0203031972943477,0.000540051545355502,0.00633646456020492,0.0120367437440609,0.0248220640569396
