"","S.P.A.","S.R.L.","S.R.L. one-person","S.C.A.R.L.P.A.","S.C.A.R.L.","Consortium","Social cooperative company","S.R.L. simplified","S.A.S.","S.N.C.","Other"
"1990 - 2010",0.0825119345164999,0.0797933494020395,0.125305224004862,0.0532038892531992,0.0988746378902694,0.11635041288132,0.264568547771673,0.96977866061294,0.0742843109347354,0.0800232288037167,0.29349725008088
"2011 - 2014",0.0275078966801081,0.0370130583626164,0.0626025264338985,0.0570108817318685,0.0317582032748904,0.0550641884433264,0.0633635370477476,0.347077960340646,0.0181891367776829,0.0193657526637378,0.185916100506848
"2015 - 2020",0.139315983175053,0.104620179656263,0.229106532262293,0.037030058629253,0.150680922360895,0.130175976582767,0.277972273547495,0.0517523948238793,0.0376976942783945,0.0624010136205258,0.160120106761566
