"","Consortium","S.R.L.","S.P.A.","S.R.L. one-person","S.C.A.R.L.P.A.","S.R.L. simplified","S.C.A.R.L.","Social cooperative company","S.N.C.","S.A.S.","Other"
"D",0.0989989301543634,0.0801339014793248,0.111707743643816,0.0579130136737603,0.0488769578433645,0.0833642362084078,0.0887475662598069,0.158642986220917,0.186574295269947,0.158626560726447,0.184132841328413
"p-value",3.42272521214326e-07,0,3.08501342249912e-08,0,6.22304074937574e-08,0,2.34004193799819e-09,1.20926564617374e-06,0.777119160914615,0.599081634982569,0.705442057279356
