"","(G)Commercio","(C)Manifattura","(H)Trasporti e Magazzinaggio","(E)Gestione Fogne e Rifiuti","(F)Costruzioni","(K)Servizi: Finanza e Assic.","(Q)Servizi: Sanità e Ass. Sociale","(A)Pesca e Agricoltura","(I)Servizi: Alloggio e Ristorazione","(N)Servizi: Viaggi e Noleggio","(J)Servizi: ICT","(B)Estrazione Minerali","(R)Attività sportive, artistiche e intratt.","(M)Servizi: Consulenza e attività scientifiche","(D)Fornitura Gas/Ele","(S)Altre attività","(L)Servizi: Immobiliari","(P)Servizi: IStruzione","(U)Organismi extra territoriali","(O)Servizi: Amm. Pubblica e Difesa"
"D",0.0551282038167627,0.0409509820120046,0.0672604594256094,0.0746627085738424,0.168047328028731,0.159721317087837,0.117775512029523,0.0862193168125686,0.077087631982587,0.0665576243677999,0.051637497563932,0.102839257768835,0.10386455369736,0.0900564511061648,0.0725905259421808,0.0688530200647867,0.101158153022439,0.0470006088242238,0.653679653679654,0.207792207792208
"p-value",0,3.29725136083425e-12,1.72626017924671e-08,0.0547248508150023,0,0,1.32338584535319e-13,7.76207153441177e-07,0,5.93969318174459e-14,1.95424649795939e-08,0.172834657870678,7.69051489157846e-13,0,0.0216001164920783,0.00046166218248378,0,0.169284363341941,0.0143768705409801,0.964359303835219
