"","Consortium","S.R.L.","S.P.A.","S.R.L. one-person","S.C.A.R.L.P.A.","S.R.L. simplified","S.C.A.R.L.","Social cooperative company","S.N.C.","S.A.S.","Other"
"D",0.0887660547602472,0.124417700235491,0.538121353166785,0.142199161222953,0.0854510464169395,0.00428983935203277,0.156091239140901,0.347625367065733,0.034878165312948,0.139141127506621,0.228536285362854
"p-value",7.25985267768792e-06,0,0,0,0,0.999901403970237,0,0,1,0.756308994348335,0.430897924718145
