"","(G)Commercio","(C)Manifattura","(H)Trasporti e Magazzinaggio","(E)Gestione Fogne e Rifiuti","(F)Costruzioni","(K)Servizi: Finanza e Assic.","(Q)Servizi: Sanità e Ass. Sociale","(A)Pesca e Agricoltura","(I)Servizi: Alloggio e Ristorazione","(N)Servizi: Viaggi e Noleggio","(J)Servizi: ICT","(B)Estrazione Minerali","(R)Attività sportive, artistiche e intratt.","(M)Servizi: Consulenza e attività scientifiche","(D)Fornitura Gas/Ele","(S)Altre attività","(L)Servizi: Immobiliari","(P)Servizi: IStruzione","(U)Organismi extra territoriali","(O)Servizi: Amm. Pubblica e Difesa"
"D",0.109250359274571,0.305683643215046,0.131685743037306,0.257320012383507,0.0912669433892804,0.0640800387889909,0.204050988254162,0.103058540490057,0.149521310839768,0.101542880299203,0.113595107255053,0.227978985021238,0.08353467375938,0.0676942461043152,0.0451506137622069,0.0870846366291795,0.00317762256597608,0.117966793342338,8.32667268468867e-17,0.121212121212121
"p-value",0,0,0,0,0,1.66350653215686e-05,0,1.38415456873986e-09,0,0,0,1.19241238367707e-05,1.86383996014783e-08,0,0.345108850244497,3.04376595139377e-06,0.999999218012552,3.52309853624e-07,1,0.999995830271335
